c,cleaned_mno,test_status,QOS_SignalStrength,Connection_Category_clean
1,raw_Sky Mobile_O2,0,-82.0,5G NSA
1,raw_Vodafone_50+,0,-106.0,4
1,raw_Vodafone_TalkMobile,0,-94.0,4
1,raw_Tesco Mobile_O2,1,-118.0,4
1,raw_Talk Talk_EE,0,-118.0,4
7,raw_EE_LycaMobile,0,-86.0,4
2,raw_O2_LB,0,-86.0,4
6,raw_EE_LycaMobile,0,-102.0,4
1,raw_Proximus_Virgin Media Ireland,0,-98.0,4
6,raw_Vodafone_Lebara,0,-110.0,4
14,raw_Ecotalk_EE,0,-118.0,4
1,raw_Lebara_Three Mobile,0,-82.0,4
1,raw_O2_LB,0,-104.0,4
1,raw_Plus_LycaMobile,6,-96.0,4
1,raw_Lebara_EE,1,-108.0,4
3,raw_Lebara_EE,0,-96.0,4
1,raw_Superdrug Mobile_Three Mobile,-1,-96.0,3
1,raw_Lebara_Vodafone,3,-122.0,4
1,raw_iD Mobile_iD,1,-114.0,3
1,raw_One NZ_Vodafone,0,-120.0,5G NSA
2,raw_Superdrug Mobile_Three Mobile,0,-88.0,4
1,raw_O2_LB,6,-112.0,4
1,raw_giffgaff_O2 - UK,3,-102.0,4
2,raw_iD Mobile_iD,0,-120.0,4
3,raw_EE_LycaMobile,0,-80.0,4
1,raw_giffgaff_O2 - UK,5,-84.0,3
1,raw_Telia_Halebop,0,-94.0,4
2,raw_Lebara_Three Mobile,1,-114.0,4
29,raw_giffgaff_O2 - UK,0,-102.0,4
1,raw_giffgaff_O2 - UK,0,-62.0,4
1,raw_Ecotalk_EE,0,-66.0,4
1,raw_Odido_Ben,1,-114.0,4
2,raw_Lebara_vodafone UK,6,-110.0,4
1,raw_iD Mobile_iD,3,-112.0,4
1,raw_Antel_Ancel,1,-86.0,4
4,raw_SMARTY_SMARTY,0,-52.0,3
1,raw_Talk Talk_EE,-1,-110.0,4
2,raw_SFR_La Poste,0,-100.0,4
3,raw_Lebara_EE,1,-116.0,4
1,raw_Popit Mobile_EE,0,-90.0,4
1,raw_Talkmobile_vodafone UK,0,-110.0,4
1,raw_Lebara_Vodafone,3,-124.0,4
2,raw_giffgaff_O2 - UK,0,-80.0,4
1,raw_Yoigo_Vivamovil,0,-104.0,4
45,raw_giffgaff_O2 - UK,0,-100.0,4
4,raw_One NZ_Vodafone,0,-108.0,4
2,raw_Lebara_vodafone UK,0,-104.0,4
3,raw_Talk Talk_EE,0,-76.0,4
2,raw_Talkmobile_vodafone UK,0,-112.0,4
2,raw_WindTre_3,0,-100.0,4
1,raw_EE_LycaMobile,0,-120.0,4
1,raw_Ecotalk_EE,1,-104.0,4
1,raw_Superdrug Mobile_Three Mobile,0,-112.0,4
1,raw_Nova_Nova,0,-100.0,4
1,raw_EE_LycaMobile,0,-76.0,4
1,raw_SMARTY_SMARTY,-1,-114.0,4
1,raw_iD Mobile_iD,-1,-116.0,4
1,raw_giffgaff_O2 - UK,-1,-78.0,4
1,raw_Unicom_EE,-1,-94.0,4
1,raw_Superdrug Mobile_Three Mobile,1,-106.0,4
2,raw_Ecotalk_EE,0,-90.0,4
1,raw_SMARTY_SMARTY,0,-114.0,4
1,raw_Telekom_fraenk,-1,-96.0,4
1,raw_Lebara_EE,0,-88.0,4
2,raw_iD Mobile_iD,0,-124.0,4
1,raw_Proximus_Virgin Media Ireland,1,-110.0,4
2,raw_Lebara_Vodafone,0,-86.0,5G NSA
1,raw_Ecotalk_EE,-1,-122.0,4
1,raw_Telia_Telia Sverige AB,0,-84.0,4
1,raw_Lebara_Vodafone,6,-110.0,4
1,raw_Popit Mobile_EE,0,-94.0,5G NSA
5,raw_Lebara_Vodafone,0,-88.0,4
1,raw_giffgaff_O2 - UK,-1,-106.0,2
1,raw_Orange_SPOKNET,-1,-104.0,2
2,raw_Sky Mobile_O2,0,-94.0,4
1,raw_Lebara_EE,1,-102.0,4
1,raw_Superdrug Mobile_Three Mobile,-1,-78.0,3
1,raw_Sky Mobile_O2,0,-86.0,4
3,raw_iD Mobile_iD,0,-90.0,4
1,raw_PrimeTel_PrimeTel,0,-98.0,4
8,raw_Ecotalk_EE,0,-98.0,4
23,raw_Ecotalk_EE,1,-114.0,4
2,raw_One NZ_Vodafone,0,-106.0,5G NSA
1,raw_Lebara_Vodafone,0,-74.0,5G NSA
1,raw_Magenta-T-_T-Mobile/tele.ring,0,-104.0,4
2,raw_One NZ_Vodafone,0,-98.0,4
1,raw_AT&T_Contennial Puerto Rio License Corp.,6,-98.0,4
1,raw_Popit Mobile_EE,3,-126.0,4
1,raw_Popit Mobile_EE,-1,-114.0,4
1,raw_One NZ_Vodafone,4,-88.0,5G NSA
2,raw_Ecotalk_EE,1,-124.0,4
1,raw_Superdrug Mobile_Three Mobile,0,-76.0,3
6,raw_Lebara_Vodafone,0,-104.0,4
1,raw_3_Three,3,-110.0,3
1,raw_Lebara_Three Mobile,-1,-110.0,3
1,raw_giffgaff_O2 - UK,5,-92.0,3
1,raw_Popit Mobile_EE,0,-104.0,5G NSA
1,raw_One NZ_Vodafone,1,-114.0,5G NSA
1,raw_iD Mobile_iD,0,-74.0,4
1,raw_Vodafone_! $A! $oF Ç £q £,0,-106.0,4
2,raw_Nova_Nova,-1,-96.0,4
1,raw_EE_LycaMobile,1,-86.0,2
1,raw_Superdrug Mobile_Three Mobile,0,-120.0,4
1,raw_Sky Mobile_O2,0,-110.0,4
2,raw_3_Smarty,0,-98.0,4
2,raw_Ecotalk_EE,0,-88.0,4
1,raw_giffgaff_O2 - UK,0,-68.0,3
1,raw_Lebara_vodafone UK,3,-110.0,4
1,raw_iD Mobile_iD,3,-108.0,3
3,raw_Telia_Telia Sverige AB,0,-106.0,4
39,raw_Ecotalk_EE,0,-114.0,4
1,raw_Vodafone_Tal hf,0,-98.0,4
8,raw_iD Mobile_iD,0,-106.0,4
1,raw_Talk Talk_EE,-1,-116.0,4
3,raw_Lebara_EE,0,-114.0,4
1,raw_Vodafone_TalkMobile,-1,-118.0,4
1,raw_Lebara_Three Mobile,6,-112.0,4
1,raw_SMARTY_3,0,-116.0,4
1,raw_spusu_Spusu AT,1,-110.0,4
1,raw_Lebara_vodafone UK,0,-116.0,4
1,raw_Vodafone_Lebara,-1,-94.0,4
