c,cleaned_mno,test_status,QOS_SignalStrength,Connection_Category_clean
1,raw_Yoigo_ehtelco,0,-108,4
6,raw_Tesco Mobile_O2,0,-107,4
1,raw_Superdrug Mobile_Three Mobile,0,-104,4
3,raw_3_Three,0,-103,3
2,raw_Lebara_vodafone UK,0,-114,4
1,raw_Magenta-T-_T-Mobile/tele.ring,0,-82,4
1,raw_Vodafone_Lebara,0,-76,4
1,raw_Ecotalk_EE,1,-104,4
1,raw_Lebara_EE,1,-98,4
1,raw_SFR_La Poste,0,-84,4
3,raw_Vodafone_Lebara,0,-95,4
2,raw_Vodafone_Lebara,1,-88,4
2,raw_iD Mobile_iD,-1,-118,4
1,raw_Vodafone_Lebara,0,-91,4
1,raw_O2_LB,0,-107,4
1,raw_Vodafone_Lebara,0,-116,4
1,raw_3_iD Mobile,-1,-109,4
1,raw_iD Mobile_iD,0,-91,4
1,raw_Lebara_Vodafone,0,-71,4
6,raw_Lebara_Vodafone,0,-97,4
1,raw_3_iD Mobile,4,-100,4
2,raw_Lebara_Vodafone,0,-116,4
2,raw_EE_LycaMobile,0,-102,4
2,raw_Lebara_EE,0,-117,4
4,raw_Vodafone_Lebara,0,-108,4
1,raw_3_iD Mobile,0,-107,4
2,raw_Lebara_EE,0,-107,4
3,raw_Lebara_Vodafone,1,-112,4
1,raw_3_Three,0,-93,3
1,raw_3_Three,3,-109,3
1,raw_EE_LycaMobile,-1,-102,4
5,raw_Ecotalk_EE,1,-108,4
1,raw_Talk Talk_EE,0,-84,4
5,raw_Ecotalk_EE,1,-121,4
2,raw_3_iD Mobile,-1,-122,4
6,raw_Tesco Mobile_O2,0,-104,4
1,raw_Yoigo_ONION,0,-117,4
1,raw_Sky Mobile_O2,-1,-109,4
6,raw_iD Mobile_iD,0,-114,4
1,raw_Vodafone_50+,0,-102,4
1,raw_EE_LycaMobile,6,-85,4
1,raw_Lebara_EE,1,-51,2
1,raw_One NZ_Vodafone,0,-104,4
1,raw_iD Mobile_iD,0,-64,4
1,raw_Ecotalk_EE,4,-106,4
1,raw_Vodafone_Lebara,0,-109,4
1,raw_Ecotalk_EE,1,-106,4
1,raw_SMARTY_3,-1,-107,4
4,raw_O2_LB,0,-91,4
1,raw_SFR_La Poste,0,-77,4
1,raw_Unicom_EE,1,-111,4
1,raw_Popit Mobile_EE,0,-90,4
4,raw_EE_LycaMobile,0,-94,4
6,raw_Vodafone_Lebara,0,-100,4
1,raw_WindTre_Wind,1,-104,4
5,raw_Ecotalk_EE,1,-116,4
1,raw_iD Mobile_iD,0,-76,4
1,raw_Plus_LycaMobile,6,-96,4
1,raw_Lebara_Vodafone,0,-87,4
1,raw_Nova_Nova,-1,-84,4
1,raw_Lebara_EE,0,-111,4
1,raw_3_3 UK*4' Xx ZRx6zg c zT,3,-97,4
1,raw_EE_LycaMobile,1,-115,4
1,raw_Lebara_Vodafone,0,-107,4
1,raw_Tesco Mobile_O2,-1,-73,3
1,raw_Orange_Siente +,1,-120,4
7,raw_Ecotalk_EE,1,-111,4
1,raw_3_Smarty,0,-97,4
2,raw_Talk Talk_EE,0,-76,4
1,raw_SMARTY_SMARTY,-1,-102,4
1,raw_Telia_Telia Sverige AB,0,-85,4
1,raw_Superdrug Mobile_Three Mobile,-1,-73,3
1,raw_Telia_Halebop,0,-98,4
2,raw_SMARTY_3,0,-91,4
1,raw_One NZ_Vodafone,1,-113,4
2,raw_3_Smarty,0,-115,4
1,raw_Orange_ion mobile +,0,-99,4
1,raw_3_Smarty,0,-112,4
1,raw_Popit Mobile_EE,0,-81,4
5,raw_Talk Talk_EE,0,-96,4
1,raw_Vodafone_26801,0,-98,4
1,raw_O2_LB,0,-103,4
1,raw_Orange_CARDENER TELECOM,-1,-114,4
6,raw_SMARTY_3,0,-112,4
1,raw_Sky Mobile_O2,0,-106,4
1,raw_Ecotalk_EE,0,-87,4
3,raw_Superdrug Mobile_Three Mobile,0,-116,4
2,raw_EE_LycaMobile,0,-92,4
1,raw_Orange_EASYSIM4U,0,-79,4
1,raw_Superdrug Mobile_Three Mobile,0,-75,3
4,raw_EE_LycaMobile,0,-91,4
