c,cleaned_mno,test_status,QOS_SignalStrength,Connection_Category_clean
3,raw_Tesco Mobile_O2,0,-80.0,4
1,raw_iD Mobile_iD,-1,-94.0,4
2,raw_One NZ_Vodafone,0,-84.0,4
2,raw_3_Smarty,0,-110.0,4
2,raw_Lebara_Vodafone,6,-90.0,4
2,raw_Lebara_Vodafone,0,-84.0,4
17,raw_Tesco Mobile_O2,0,-106.0,4
7,raw_EE_LycaMobile,0,-94.0,4
4,raw_Superdrug Mobile_Three Mobile,0,-84.0,4
1,raw_Nova_Nova,-1,-84.0,4
1,raw_Orange_Siente +,1,-120.0,4
1,raw_Lebara_EE,3,-108.0,4
106,raw_giffgaff_O2 - UK,0,-92.0,4
6,raw_Vodafone_TalkMobile,0,-102.0,4
2,raw_Lebara_Vodafone,-1,-124.0,4
1,raw_Lebara_Vodafone,0,-118.0,5G NSA
1,raw_SMARTY_SMARTY,0,-114.0,4
2,raw_3_iD Mobile,0,-110.0,4
1,raw_Ecotalk_EE,0,-78.0,4
1,raw_Talk Talk_EE,6,-82.0,4
4,raw_One NZ_Vodafone,0,-106.0,4
1,raw_Orange_ion mobile +,0,-76.0,4
1,raw_Sky Mobile_O2,0,-110.0,4
3,raw_Lebara_Vodafone,1,-112.0,4
1,raw_Sky Mobile_O2,0,-102.0,4
1,raw_iD Mobile_iD,0,-88.0,3
1,raw_Tesco Mobile_O2,-1,-90.0,4
3,raw_giffgaff_O2 - UK,6,-96.0,4
1,raw_iD Mobile_iD,0,-82.0,4
1,raw_iD Mobile_iD,1,-90.0,3
1,raw_Superdrug Mobile_Three Mobile,0,-120.0,4
4,raw_iD Mobile_iD,0,-94.0,4
1,raw_Lebara_EE,-1,-114.0,4
6,raw_Lebara_Vodafone,0,-102.0,4
1,raw_EE_LycaMobile,0,-118.0,4
1,raw_iD Mobile_iD,3,-108.0,3
1,raw_Telia_Halebop,0,-86.0,4
6,raw_EE_LycaMobile,0,-108.0,4
1,raw_T-Mobile_Ting - MVNO1,0,-118.0,4
6,raw_Vodafone_TalkMobile,0,-92.0,4
3,raw_iD Mobile_iD,0,-90.0,4
1,raw_Vodafone_Lebara,-1,-112.0,4
3,raw_Lebara_Vodafone,0,-116.0,4
1,raw_Lebara_Vodafone,-1,-100.0,4
1,raw_Digicel_Digicel,1,-96.0,4
1,raw_Vodafone_TalkMobile,-1,-118.0,4
1,raw_Telia_Halebop,0,-82.0,4
1,raw_Vodafone_Lebara,3,-124.0,4
1,raw_Vodafone_Lebara,0,-74.0,4
1,raw_One NZ_Vodafone,0,-94.0,4
1,raw_Lebara_EE,3,-118.0,4
3,raw_O2_LB,0,-88.0,4
1,raw_SMARTY_SMARTY,6,-102.0,4
2,raw_Telia_Telia Sverige AB,0,-108.0,4
1,raw_Orange_Carrefour,1,-92.0,4
1,raw_giffgaff_O2 - UK,3,-68.0,2
6,raw_Ecotalk_EE,0,-86.0,4
1,raw_Popit Mobile_EE,0,-104.0,5G NSA
1,raw_Sky Mobile_O2,1,-106.0,4
1,raw_Tesco Mobile_O2,1,-102.0,3
1,raw_3_iD Mobile,4,-100.0,4
1,raw_Talk Talk_EE,-1,-110.0,4
2,raw_Orange_YouPrice O,0,-104.0,4
36,raw_Ecotalk_EE,0,-110.0,4
1,raw_O2_giffgaff,0,-104.0,4
1,raw_One NZ_Vodafone,0,-100.0,4
1,raw_Superdrug Mobile_Three Mobile,0,-72.0,3
1,raw_Tesco Mobile_O2,-1,-106.0,2
1,raw_iD Mobile_iD,-1,-120.0,4
1,raw_Talk Talk_EE,0,-122.0,4
1,raw_3_Three,3,-110.0,3
8,raw_Ecotalk_EE,1,-120.0,4
1,raw_SFR_La Poste,0,-84.0,4
1,raw_Telia_Telia Sverige AB,0,-110.0,4
5,raw_One NZ_Vodafone,0,-112.0,4
1,raw_Superdrug Mobile_Three Mobile,0,-112.0,4
2,raw_WindTre_3,0,-104.0,4
1,raw_Vodafone_TalkMobile,-1,-104.0,5G NSA
1,raw_3_Three,3,-114.0,3
3,raw_SFR_La Poste,0,-112.0,4
2,raw_One NZ_Vodafone,0,-104.0,4
3,raw_Lebara_vodafone UK,0,-114.0,4
1,raw_iD Mobile_iD,1,-86.0,4
1,raw_O2_giffgaff,0,-110.0,4
2,raw_Tesco Mobile_O2,0,-86.0,4
3,raw_SMARTY_SMARTY,1,-104.0,4
14,raw_iD Mobile_iD,0,-108.0,4
2,raw_SMARTY_3,0,-92.0,4
1,raw_One NZ_Vodafone,0,-114.0,5G NSA
8,raw_Vodafone_Lebara,0,-94.0,4
1,raw_Orange_Netcom Group,0,-92.0,4
1,raw_Tesco Mobile_O2,1,-106.0,4
3,raw_Lebara_Vodafone,0,-108.0,4
1,raw_Telia_Telia Sverige AB,0,-84.0,4
1,raw_Antel_Ancel,0,-86.0,4
1,raw_Popit Mobile_EE,-1,-114.0,4
2,raw_Talk Talk_EE,0,-98.0,4
1,raw_Yoigo_ehtelco,0,-108.0,4
1,raw_giffgaff_O2 - UK,0,-80.0,3
1,raw_Superdrug Mobile_Three Mobile,0,-80.0,3
1,raw_One NZ_Vodafone,0,-102.0,2
1,raw_Sky Mobile_O2,0,-106.0,5G NSA
1,raw_giffgaff_O2 - UK,0,-110.0,3
3,raw_EE_LycaMobile,0,-80.0,4
1,raw_Lebara_EE,0,-90.0,4
1,raw_Yoigo_ACACIOPHONE,1,-106.0,4
5,raw_Vodafone_Lebara,0,-116.0,4
2,raw_SMARTY_SMARTY,0,-96.0,4
1,raw_giffgaff_O2 - UK,3,-72.0,2
1,raw_SMARTY_3,-1,-108.0,4
1,raw_Vodafone_Tal hf,0,-98.0,4
1,raw_iD Mobile_iD,0,-108.0,3
1,raw_Vodafone_50+,-1,-86.0,4
1,raw_Orange_EASYSIM4U,0,-80.0,4
1,raw_Yoigo_Hits,0,-94.0,4
1,raw_SMARTY_SMARTY,1,-106.0,4
1,raw_Popit Mobile_EE,1,-106.0,4
1,raw_3_iD Mobile,1,-102.0,4
1,raw_Vodafone_! $A! $oF Ç £q £,0,-106.0,4
1,raw_giffgaff_O2 - UK,1,-100.0,4
2,raw_3_Three,0,-106.0,3
1,raw_Lebara_EE,1,-106.0,4
1,raw_SFR Réunion_Société Réunionnaise du Radiotéléphone,0,-84.0,4
3,raw_Lebara_EE,0,-96.0,4
1,raw_Sky Mobile_O2,1,-102.0,5G NSA
2,raw_Lebara_vodafone UK,6,-110.0,4
7,raw_Vodafone_TalkMobile,0,-104.0,4
1,raw_Vodafone_TalkMobile,6,-98.0,4
2,raw_Vodafone_Lebara,-1,-118.0,4
1,raw_Vodafone_Lebara,1,-116.0,4
6,raw_Popit Mobile_EE,0,-102.0,4
3,raw_EE_LycaMobile,0,-72.0,4
2,raw_One NZ_Vodafone,0,-82.0,4
1,raw_giffgaff_O2 - UK,0,-116.0,4
1,raw_Vodafone_Lebara,0,-76.0,5G NSA
1,raw_Telia_Telia Sverige AB,1,-112.0,4
1,raw_Nova_Nova,0,-94.0,4
2,raw_One NZ_Vodafone,0,-86.0,4
1,raw_One NZ_Vodafone,-1,-104.0,4
6,raw_EE_LycaMobile,0,-114.0,4
1,raw_Vodafone_voda UK,-1,-116.0,4
1,raw_3_Three,3,-100.0,3
1,raw_3_Main,0,-100.0,4
1,raw_Superdrug Mobile_Three Mobile,1,-110.0,4
1,raw_Vodafone_Tal hf,-1,-52.0,2
6,raw_Lebara_EE,0,-110.0,4
5,raw_Lebara_Vodafone,0,-100.0,4
1,raw_Talkmobile_vodafone UK,0,-110.0,4
9,raw_Ecotalk_EE,1,-116.0,4
1,raw_3_Three,1,-102.0,3
2,raw_giffgaff_O2 - UK,6,-100.0,4
5,raw_Lebara_EE,1,-112.0,4
1,raw_Lebara_EE,1,-98.0,4
2,raw_Tesco Mobile_O2,0,-66.0,4
1,raw_Lebara_Vodafone,1,-84.0,2
1,raw_One NZ_Vodafone,0,-110.0,4
1,raw_Tesco Mobile_O2,0,-96.0,4
31,raw_Ecotalk_EE,0,-112.0,4
2,raw_Lebara_Vodafone,0,-78.0,5G NSA
1,raw_Vodafone_TalkMobile,6,-104.0,4
1,raw_Orange_EASYSIM4U,0,-120.0,5G NSA
1,raw_SMARTY_3,6,-110.0,4
1,raw_giffgaff_O2 - UK,6,-112.0,4
1,raw_giffgaff_O2 - UK,0,-120.0,4
1,raw_Orange_NUMERO,-1,-94.0,4
2,raw_Talk Talk_EE,0,-94.0,4
1,raw_giffgaff_O2 - UK,1,-108.0,4
2,raw_SMARTY_SMARTY,0,-100.0,4
2,raw_Popit Mobile_EE,0,-88.0,4
3,raw_Vodafone_Lebara,0,-90.0,4
2,raw_Talk Talk_EE,0,-86.0,4
8,raw_EE_LycaMobile,0,-104.0,4
1,raw_Tesco Mobile_O2,1,-118.0,4
1,raw_giffgaff_O2 - UK,0,-78.0,3
2,raw_SFR_La Poste,0,-110.0,4
1,raw_3_iD Mobile,0,-108.0,4
2,raw_Lebara_Vodafone,6,-108.0,4
1,raw_spusu_Spusu AT,1,-110.0,4
1,raw_Ecotalk_EE,0,-84.0,4
5,raw_Talk Talk_EE,0,-102.0,4
2,raw_3_Smarty,0,-98.0,4
1,raw_SFR_La Poste,1,-88.0,2
1,raw_Magenta-T-_T-Mobile/tele.ring,1,-106.0,4
47,raw_Ecotalk_EE,0,-108.0,4
1,raw_Hot Mobile_Hot Mobile,1,-108.0,4
1,raw_Ecotalk_EE,1,-92.0,4
1,raw_3_3 UK*4' Xx ZRx6zg c zT,3,-98.0,4
1,raw_SMARTY_3,5,-118.0,4
1,raw_Vodafone_hollandsnieuwe.,0,-96.0,4
1,raw_Ecotalk_EE,3,-110.0,4
5,raw_O2_LB,0,-98.0,4
2,raw_Talk Talk_EE,1,-120.0,4
1,raw_WindTre_Wind,1,-104.0,4
1,raw_Sky Mobile_O2,0,-118.0,4
1,raw_EE_LycaMobile,0,-76.0,4
1,raw_Popit Mobile_EE,1,-112.0,4
1,raw_T-Mobile_Ting - MVNO1,0,-94.0,4
2,raw_giffgaff_O2 - UK,0,-76.0,4
1,raw_3_Three,3,-106.0,3
1,raw_O2_giffgaff,0,-100.0,4
2,raw_Lebara_Vodafone,-1,-112.0,4
1,raw_giffgaff_O2 - UK,3,-102.0,4
1,raw_Lebara_vodafone UK,1,-114.0,4
19,raw_Ecotalk_EE,0,-102.0,4
5,raw_Lebara_vodafone UK,0,-112.0,4
